member_id,name,salt,gender,birth_date,address,email,phone
1,毛若穎,0oplfZ16tyLX,0,1960-05-09,366 苗栗縣銅鑼鄉民權路31號,in.consequat@yahoo.com,921003614
2,林芳岑,7gB%z9Svg8EW,0,2009-06-27,600 嘉義市東區世賢路24號,adipiscing.enim.mi@outlook.com,988008346
3,胡素芝,JJQF0j%tkx3i,0,1963-08-03,325 桃園市龍潭區淮子埔一路29號,nullam.velit@yahoo.com,922830125
4,童雅婷,Rv$uGmL&C!%g,0,2015-06-05,540 南投縣南投市三和一路14號,sed.auctor@hotmail.com,958351743
5,賴麗萍,XcZg6Be^cU2y,0,1963-12-08,508 彰化縣和美鎮潭北路15號,sagittis.nullam@google.com,912587773
6,黃志斌,aZjy*GvZt@s*,1,1961-03-02,711 臺南市歸仁區崙頂二街11號,nec.leo.morbi@protonmail.com,960105109
7,廖松白,j8tI5!wG88PM,1,1996-08-12,411 臺中市太平區北田路14號,sociosqu.ad@yahoo.com,961749001
8,徐嘉柏,n7UDOe0uspZk,1,1979-03-10,801 高雄市前金區自立二路18號,proin.non@protonmail.com,928735721
9,李麗珠,wlmM33nAD@SR,0,1979-02-21,201 基隆市信義區義四路22號,arcu.vel.quam@hotmail.com,968169143
10,施泓音,&@^ODhk0MH&l,1,1973-08-24,622 嘉義縣大林鎮早知31號,dui.quis.accumsan@google.com,970691667
